Claim Ref,Event,Loss Date,Reported,Paid,Reserve,Incurred,Ccy,Peril,Location
CLM-001,HURR-DEMO-2027,2027-09-14,2027-09-16,12000000.00,3000000.00,15000000.00,USD,Wind,"Miami-Dade, FL"
CLM-002,HURR-DEMO-2027,2027-09-14,2027-09-17,8000000.00,2500000.00,10500000.00,USD,Wind,"Broward, FL"
CLM-003,HURR-DEMO-2027,2027-09-14,2027-09-18,5000000.00,1000000.00,6000000.00,USD,Flood,"Collier, FL"
CLM-004,HURR-DEMO-2027,2027-09-15,2027-09-19,4200000.00,800000.00,5000000.00,USD,Wind,"Lee, FL"
CLM-005,HURR-DEMO-2027,2027-09-15,2027-09-20,3000000.00,500000.00,3500000.00,USD,Wind,"Charlotte, FL"
CLM-006,HURR-DEMO-2027,2027-09-15,2027-09-21,2500000.00,700000.00,3200000.00,USD,Flood,"Sarasota, FL"
CLM-007,HURR-DEMO-2027,2027-09-15,2027-09-22,6000000.00,1500000.00,7500000.00,USD,Wind,"Hillsborough, FL"
CLM-008,HURR-DEMO-2027,2027-09-16,2027-09-24,1800000.00,200000.00,2000000.00,USD,Wind,"Pinellas, FL"
CLM-009,HURR-DEMO-2027,2027-09-16,2027-09-25,900000.00,100000.00,1000000.00,USD,Flood,"Pasco, FL"
CLM-010,HURR-DEMO-2027,2027-09-16,2027-09-27,4000000.00,1000000.00,5000000.00,USD,Wind,"Manatee, FL"
